*** discogem_multi_leaves_0.3 ***

 Positive Association 
______________________________


*** discogem_multi_leaves_0.3 ***

 Negative Association 
synchronous          | precedence           | 0.02    | 
contrast             | arg2-as-subst        | 0.0     | 
similarity           | conjunction          | 0.0022  | 
similarity           | arg2-as-instance     | 0.0     | 
similarity           | arg1-as-detail       | 0.0     | 
similarity           | arg2-as-detail       | 0.0     | 
similarity           | arg2-as-subst        | 0.0     | 
conjunction          | arg2-as-instance     | 0.002   | 
conjunction          | arg1-as-detail       | 0.0     | 
conjunction          | arg2-as-detail       | 0.0007  | 
conjunction          | arg2-as-subst        | 0.0     | 
arg2-as-instance     | arg1-as-detail       | 0.0     | 
arg2-as-instance     | arg2-as-detail       | 0.0033  | 
arg2-as-instance     | arg2-as-subst        | 0.0     | 
arg1-as-detail       | arg2-as-detail       | 0.0     | 
arg1-as-detail       | arg2-as-subst        | 0.0     | 
arg2-as-detail       | arg2-as-subst        | 0.0     | 
______________________________


*** discogem_multi_level2_0.3 ***

 Positive Association 
______________________________


*** discogem_multi_level2_0.3 ***

 Negative Association 
synchronous          | asynchronous         | 0.0186  | 
synchronous          | cause                | 0.0051  | 
synchronous          | purpose              | 0.0     | 
synchronous          | concession           | 0.0     | 
synchronous          | contrast             | 0.0     | 
synchronous          | similarity           | 0.0     | 
synchronous          | conjunction          | 0.0098  | 
synchronous          | disjunction          | 0.0     | 
synchronous          | instantiation        | 0.0     | 
synchronous          | level-of-detail      | 0.0023  | 
synchronous          | substitution         | 0.0     | 
asynchronous         | cause                | 0.0551  | 
asynchronous         | purpose              | 0.0     | 
asynchronous         | concession           | 0.0179  | 
asynchronous         | contrast             | 0.0024  | 
asynchronous         | similarity           | 0.0     | 
asynchronous         | conjunction          | 0.0501  | 
asynchronous         | disjunction          | 0.0     | 
asynchronous         | instantiation        | 0.0048  | 
asynchronous         | level-of-detail      | 0.0111  | 
asynchronous         | substitution         | 0.0015  | 
cause                | purpose              | 0.0003  | 
cause                | concession           | 0.0401  | 
cause                | contrast             | 0.0093  | 
cause                | similarity           | 0.0024  | 
cause                | conjunction          | 0.1308  | 
cause                | disjunction          | 0.0     | 
cause                | instantiation        | 0.0257  | 
cause                | level-of-detail      | 0.1244  | 
cause                | substitution         | 0.0017  | 
purpose              | concession           | 0.0     | 
purpose              | contrast             | 0.0     | 
purpose              | similarity           | 0.0     | 
purpose              | conjunction          | 0.0     | 
purpose              | disjunction          | 0.0     | 
purpose              | instantiation        | 0.0     | 
purpose              | level-of-detail      | 0.0     | 
purpose              | substitution         | 0.0     | 
concession           | contrast             | 0.0442  | 
concession           | similarity           | 0.0015  | 
concession           | conjunction          | 0.0341  | 
concession           | disjunction          | 0.0     | 
concession           | instantiation        | 0.006   | 
concession           | level-of-detail      | 0.0252  | 
concession           | substitution         | 0.0     | 
contrast             | similarity           | 0.0039  | 
contrast             | conjunction          | 0.0102  | 
contrast             | disjunction          | 0.0     | 
contrast             | instantiation        | 0.0017  | 
contrast             | level-of-detail      | 0.0064  | 
contrast             | substitution         | 0.0053  | 
similarity           | conjunction          | 0.0258  | 
similarity           | disjunction          | 0.0     | 
similarity           | instantiation        | 0.0063  | 
similarity           | level-of-detail      | 0.0022  | 
similarity           | substitution         | 0.0     | 
conjunction          | disjunction          | 0.0004  | 
